ID,Title,ISBN,no,"
570,ไต่สวนฉุกเฉิน ไต่สวนคุ้มครองชั่วคราว ร้องขอกันส่วน ร้องขัดทรัพย์ ร้องขอกันส่วน ร้องขัดทรัพย์ ร้องขอรับชำระหนี้จำนอง,9.78974E+12,1,คณะกรรมการบริหารจัดการฯ,KPT1749 ส284 2553
571,คำอธิบายกฎหมายลักษณะทรัพย์ : พร้อมถามตอบอัตนัยตามแนวคำพิพากษาศาลฎีกา,9.78974E+12,1,คณะกรรมการบริหารจัดการฯ,KPT640 ส355 2555
572,คู่มือศึกษาวิชากฎหมายพาณิชยนาวี,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KD1819 ผ951 2559
573,หลักกฎหมายบุคคล,9.78616E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT511 ก675 2559
574,ทฤษฎีกฎหมายนิติปรัชญา,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,K231 ส274 2559
575,นิติปรัชญา,9.78974E+12,2,หมวดกฎหมายระหว่างประเทศ,K230 ป472 2559
576,ทางเลือกในการระงับข้อพิพาทอนุญาโตตุลาการ,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT1829 อ165 2558
577,คำอธิบายกฎหมายการลงทุนระหว่างประเทศ,9.78974E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT3405 ด839 2558
578,คำอธิบาย ปพพ.ว่าด้วยสัญญา,9.78974E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT858 จ419
579,คำอธิบาย ปพพ.ว่าด้วยหุ้นส่วนและบริษัท,9.78974E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT1045 ส979ป 2556
580,คำอธิบาย ปพพ.ว่าด้วยหนี้ บรรพ 2,9.78974E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT810 ท672
581,คำอธิบาย ปพพ.จัดการงานนอกสั่ง ลาภมิควรได้ ละเมิด,9.78974E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT864.3 จ419 2557
582,คำอธิบาย ปพพ.ค้ำประกัน จำนอง จำนำเก็บของในคลังสินค้าฯ,9.78974E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT900 ส768 2556
583,กฎหมายรัฐธรรมนูญ แนวคิดและประสบการณ์ของต่างปรระเทศ,9.78616E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT2110 ช486 2559
584,กฎหมายรัฐธรรมนูญจีน,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,JQ1503 อ785 2558
585,หลักกฎหมายห้างหุ้นส่วน บริษัทจำกัด และบริษัทมหาชนจำกัด,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT1045 น157 2558
586,คำอธิบายกฎหมายลักษณะละเมิด จัดการงานนอกสั่ง ลาภมิควรได้,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT834 ศ125 2558
587,คำอธิบายกฎหมายลักษณะ ซื้อขาย แลกเปลี่ยน ให้,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT874 ศ125 2559
588,กฎหมายความรับผิดต่อความเสียหายที่เกิดขึ้นจากสินค้าที่ไม่ปลอดภัย,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT3276 ศ321 2559
589,ประวัติศาสตร์กฎหมายไทย,9.78616E+12,10,หมวดกฎหมายระหว่างประเทศ,K ส968ป 2558
590,ความรู้ทั่วไปเกี่ยวกับกฎหมาย,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT68 ร165 2559
591,คำอธิบายนิติกรรม-สัญญา พร้อมคำอธิบายในส่วนของง พ.ร.บ. ว่าด้วยข้อสัญญาที่ไม่เป็นธรรม พ.ศ. 2540,9.78616E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT504 ศ125 2559
592,ความรู้กฎหมายทั่วไป คำอธิบายวิชากฎหมายแพ่ง หล ลักทั่วไป,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT500 ส274ค 2559
593,คำอธิบายกฎหมาย เช่าทรัพย์ - เช่าซื้อ,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT886.3 ศ125 2558
594,คำอธิบายตั๋วเงิน,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT938 ส447 2559
595,คำอธิบายศัพท์นิติกรรม-สัญญา,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT26 ศ125อ 2559
596,ประมวลกฎหมายวิธีพิจารณาความอาญา (ฉบับอ้างอิง) :ตัวบท คำอธิบายย่อและเอกสารอ้างอิง เรียงมาตรา,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT4610 ส854 2559
597,ถาม-ตอบ เอกเทศสัญญา 2 จ้างแรงงาน จ้างทำของ รัับขน ยืม ฝากทรัพย์ เจ้าสำนักโรงแรม ตัวแทน นายหน้า,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT874 ผ951ถ 2559
598,การคุ้มครองและรักษาสิ่งแวดล้อมทางทะเลจากภาวะมลพิษจากแหล่งบนบก,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT3127 ข634 2558
599,ความรู้ทั่วไปกฎหมายภาษี ตามประมวลรัษฎากร,9.78616E+11,2,หมวดกฎหมายระหว่างประเทศ,KPT3550 ท365 2559
600,คู่มือสอบกฎหมายปกครอง,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT2720 ส866ค 2558
601,คู่มือสอบกฎหมายรัฐธรรมนูญ,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT2070 ส866ก 2557
602,คู่มือสอบพระธรรมนูญศาลยุติธรรม,9.78616E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT1572 อ261 2559
603,คำศัพท์ภาษาอังกฤษสำหรับนักกฎหมาย,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,PE1116 ด174 2559
604,คู่มือสอบพยายหลักฐาน,9.78616E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT1672 อ261 2559
605,หลักกฎหมายว่าด้วยองค์กรอัยการและพนักงานอัยการ,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT1615 ส866 2559
606,เตรียมสอบเข้านิติศาสตร์ ความรู้เบื้องต้นเกี่ยยวกับกฎหมายทั่วไป,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT68 พ274 2558
607,หลักการทำสัญญาและตัวอย่างสัญญาต่างๆ เล่ม 1,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT858 ส852 2557
608,คำถามพร้อมธงคำตอบ ข้อสอบการคัดเลือกเพื่อบรรจุเป็นข้าราชการอัยการ ในตำแหน่งอัยการผู้ช่วย,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT1615 ร122 2558
609,กฎหมายเกี่ยวกับการท่องเที่ยว,9.78974E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT3425 ค127 2558
610,กฎหมายเกี่ยวกับการควบคุมและป้องกันโรคระบาดในสัตว์เลี้ยง,9.78974E+12,2,หมวดกฎหมายระหว่างประเทศ,SF780.9 ช627 2555
611,กฎหมายเกี่ยวกับการเกษตร,9.78974E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT3295 อ727 2557
612,ไต้หวันในความสัมพันธ์ระหว่างประเทศ,9.78974E+12,5,หมวดกฎหมายระหว่างประเทศ,DS799.625 ส723 2558
613,เศรษฐศาสตร์การจัดการ,9.78974E+12,5,หมวดกฎหมายระหว่างประเทศ,HD30.22 น232 2558
614,วิชาสุดท้ายที่มหาวิทยาลัยไม่ได้สอน,9.78617E+12,2,หมวดกฎหมายระหว่างประเทศ,PN6129.T5 ว549 2559/20
615,นิติปรัชญา...ภาษาอังกฤษกฎหมาย,9.78617E+12,2,หมวดกฎหมายระหว่างประเทศ,K230 ค144 2558
616,อธิบายหลักกฏหมายอุทยานแห่งชาติและหลักกฎหมายที่เกี่ยวข้องกับการปฏิบัติงานด้านอุทยานและป่าไม,9.78617E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT3336 ส821 2559
617,อธิบายกฎหมายป่าไม้,9.78617E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT3336 ส821 2558
618,ภาษีอากรตามประมวลรัษฎากร 2559,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,HJ2950.55 ภ491 2559
619,คำอธิบายกฎหมายว่าด้วยองค์กรอัยการและพนักงานอัยการ,9.78616E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT1615 อ686 2559
620,คำอธิยายกฎหมายอุ้มบุญ,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT3117 ย158 2558
621,ประวัติศาสตร์กฎหมายไทย,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT120 อ281 2559
622,ประมวลกฎหมายอาญา ฉบับอ้างอิง,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT3800 ท189ป 2559
623,กฎหมายระหว่างประเทศ เล่ม 1,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KZ3410 จ637ก 2559
624,แนวทางการเขียนตอบข้อสอบกฎหมายสำหรับผู้เริ่มต้นศึกษากฎหมาย,9.78616E+12,2,หมวดกฎหมายระหว่างประเทศ,KPT70 ม628 2559
625,กฎหมายรัฐธรรมนูญ,9.78052E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT2110 บ572 2559
626,International Law,9.78974E+12,5,หมวดกฎหมายระหว่างประเทศ,KZ3410 J85 2016
627,กฎหมายการเยียวยาผู้ได้รับความเสียหายจากสินค้า,9.78974E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT846.5 อ165 2559
628,คำอธิบายสถาบันอุดมศึกษาเอกชน,9.78616E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT3147 ด554 2558
629,คู่มือการศึกษา วิชากฎหมายการค้าระหว่างประเทศว่าด้วยการรับขนของทางทะเล,9.78616E+12,5,หมวดกฎหมายระหว่างประเทศ,KPT3470 อ353 2559
630,หลักการทำสัญญาและตัวอย่างสัญญา,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT858 ส852 2559
631,ศิลปะการร่างคำคู่ความ ตอน 1,9.78974E+12,2,หมวดกฎหมายอาญาและฯ,K2231 ว561 2551 ล.1
632,มุมมองใหม่ในกฎหมายอาญา,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3800 ท189 2556
633,ยอมไม่ได้ (รวมเรื่องสั้นหลักกฎหมายชาวบ้าน),9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT68 ท189 2556
634,สิทธิพื้นฐานในคดีอาญา,9.78974E+12,2,หมวดกฎหมายอาญาและฯ,KPT3800 ม484ส 2550
635,ปฏิรูปกระบวนการยุติธรรมทางอาญา,9.78974E+12,2,หมวดกฎหมายอาญาและฯ,HV9960.T5 ค129
636,ความเป็นมาและหลักการใช้นิติวิธีซิวิลลอว์,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,K155 ก675 2560
637,คำอธิบายความผิดเกี่ยวกับการปลอมและการแปลงตามประมวลกฎหมายอาญา,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3878 ส854
638,คำอธิบายความผิดเกี่ยวกับทรัพย์ ตามประมวลกฎหมายอาญา,9.78616E+12,5,หมวดกฎหมายอาญาและฯ,K ส854ค 2559
639,กฎหมายว่าด้วยการบังคับโทษจำคุก,9.78616E+12,5,หมวดกฎหมายอาญาและฯ,KPT3800 ธ517 2558
640,คำอธิบายกฎหมายวิธีพิจารณาความแพ่ง ภาค 3,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT1710 ป615 2557
641,หลักและทฤษฎีกฎหมายวิธีพิจารณาความแพ่ง เล่ม 1,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT1710 ว244 2556
642,อาชญวิทยาและทัณฑวิทยา,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,HV6026.T5 อ514 2557
643,กฎหมายลักษณะพยาน,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT1672 ส867 2557
644,คำอธิบายพระราชบัญญัติส่งผู้ร้ายข้ามแดน พ.ศ.2551 หลักกฎหมายและทางปฏิบัติ.,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT4660 ต247 2557
645,กฎหมายราชทัณฑ์,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3946 ธ517 2558
646,คำอธิบายกฎหมายอาญาภาคความผิด เล่ม 1.,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3878 ค119 2559
647,คำอธิบายกฎหมายอาญา ภาคความผิด เล่ม 2.,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3878 ค119 2559
648,กฎหมายอาญาชั้นสูง,9.78616E+12,4,หมวดกฎหมายอาญาและฯ,KPT3800 ป115 2559
649,ประมวลกฎหมายอาญา ฉบับหัวเรื่องเรียงมาตรา,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3800 ป352ม 2557
650,ประมวลกฏหมายวิธีพิจารณาความอาญา,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT4610ป349อ 2555
651,ประมวลกฎหมายวิธีพิจารณาความอาญา หลักกฎหมายและะพื้นฐานการเข้าใจ,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT4610 ค129ป 2556
652,ประมวลกฎหมายอาญา หลักกฎหมายและพื้นฐานการเข้าใใจ,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3800 ค129 2559
653,ประมวลกฎหมายอาญา ฉบับไทย-อังกฤษ,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3800 ป352 2556
654,กฎหมายอาญาระหว่างประเทศ,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KZ3410 ส258 2556
655,นิติเวชศาสตร์และกฎหมายการแพทย์,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,RA1027.5 น589 2557
656,เชิงทนาย,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT1630 ค142 2556
657,วิชาว่าความและมรรยาททนายความ,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,K117 ม484 2559
658,หลักกฎหมายว่าด้วยวิธีพิจารณาความอาญาในศาลแขวง,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT4610 ส863 2559
659,หลักกฎหมายการคลัง,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3526 อ929 2558
660,หลักกฎหมายมาตการบังคับทางอาญา,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3878 ธ517
661,ทฤษฎีอาญา,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT3800 อ262 2556
662,การปฏิรูประบบกฎหมายไทยภายใต้อิทธิพลยุโรป,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT120 ก675 2556
663,คำอธิบายวิชาว่าความและศาลจำลอง,9.78616E+12,2,หมวดกฎหมายอาญาและฯ,KPT1630 จ638 2559
664,พรบ.ว่าด้วยความผิดคอมฯ,9.78974E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT80.C65 พ371 2553
665,รวมกฎหมายคุ้มครองผู้บริโภค,9.78974E+12,3,หมวดวิชากฎหมายเอกชนและฯ,KPT3276 ร155
666,หลักกฎหมายละเมิด,9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,K ภ373ห 2546
667,หลักกฎหมายโรมันเบื้องต้น,9.78974E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KJA147 ป241 2555
668,สัญญาผู้บริโภค,9.78974E+12,5,หมวดวิชากฎหมายเอกชนและฯ,KPT3276 ด425 2559
669,กฎหมายเอกชนเปรียบเทียบเบื้องต้น : จารีตโรมันฯ,9.78974E+12,4,หมวดวิชากฎหมายเอกชนและฯ,K584 ป241 2555
670,หลักวิชาชีพนักกฎหมาย,9.78974E+12,2,หมวดวิชากฎหมายเอกชนและฯ,K116 จ419ห 2558
671,กฎหมายทรัพย์สิน,,5,หมวดวิชากฎหมายเอกชนและฯ,KPT640 อ623 2557
672,หลักกฎหมายเอกเทศสัญญา จ้างแรงงาน จ้างทำของ รับขน,9.78974E+12,5,หมวดวิชากฎหมายเอกชนและฯ,KPT893 น157 2559
673,คำอธิบายระบบศาลและพระธรรมนูญศาลยุติธรรม,9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT1572 พ993 2559
674,คำอธิบายกฎหมายลักษณะห้างหุ้นส่วนบริษัท,9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT1045 ส447ค 2558
675,ความรู้เบื้องต้นเกี่ยวกับประมวลกฎหมายแพ่งและพาณิชย์,9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT500 ค129ค 2559
676,ประมวลกฎหมายแพ่งและพาณิชย์ว่าด้วยนิติกรรมและหนี้ เล่ม 1 (ภาค 1-2),9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT504 ส917 2559
677,ร่างสัญญาธุรกิจ,9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT917 อ151 2559
678,การร่างสัญญาภาษาอังกฤษสำหรับนักกฎหมาย,9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,PE1116.L2 จ637 2558
679,ครูกฎหมาย นักกฎหมายและหลักวิชาชีพนักกฎหมาย,9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT68 ค129ค 2558
680,บันทึกคำสัมภาษณ์พระยามานวราชเสวี,9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT68 บ268 2557
681,กฎหมายหนี้ : หลักทั่วไป,9.78974E+12,5,หมวดวิชากฎหมายเอกชนและฯ,KPT810 ด425 2558
682,คำอธิบายกฎหมายวิธีพิจารณาคดีผู้บริโภค,9.78616E+12,5,หมวดวิชากฎหมายเอกชนและฯ,KPT3276 พ993 2559
683,คำอธิบายกฎหมายที่ดิน,9.78974E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT683 ว275 2557
684,คำอธิบายกฎหมายแพ่งและพาณิชย์ว่าด้วยตัวแทนและนายหน้า,9.78974E+12,2,หมวดวิชากฎหมายเอกชนและฯ,K ป412ค 2556
685,คำอธิบายกฎหมายลักษณะพยาน,9.78974E+12,5,หมวดวิชากฎหมายเอกชนและฯ,KPT1672 ส979 2557
686,คำอธิบายประมวลกฎหมายแพ่งและพาณิชย์ ลักษณะละเมิด,9.78974E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT834 พ973 2558
687,คำอธิบายประมวลกฎหมายแพ่งและพาณิชย์ ว่าด้วยหนี้,9.78974E+12,5,หมวดวิชากฎหมายเอกชนและฯ,KPT810 ส979 2556
688,อัตชีวประวัติ : เหลียวหลังแลหน้า,9.78974E+12,5,หมวดวิชากฎหมายเอกชนและฯ,DS578.32.P84 ป492อ 2559
689,อัตชีวประวัติ : ทหารชั่วคราว,9.78974E+12,5,หมวดวิชากฎหมายเอกชนและฯ,DS578.32.P84 ป492 2559
690,อาจารย์ป๋วย อึ๊งภากรณ์ กับมหาวิทยาลัยธรรมศาสตร์ :แนวคิดทางเศรษฐกิจ สังคม และการเมือง การวางรากฐาน,9.78617E+12,5,หมวดวิชากฎหมายเอกชนและฯ,DS578.32.P83 ก763 2559
691,ตัวแทน - นายหน้า,9.78616E+12,2,หมวดวิชากฎหมายเอกชนและฯ,KPT861 ผ951 2559
692,ประมวลกฎหมายรัษฎากร,9.78617E+12,5,อ.กิตติยา พรหมจันทร์,K พ935ป 2559
693,การคลังประยุกต์กับเศรษฐกิจไทยที่เปลี่ยนแปลงไป,9.78974E+12,2,อ.กิตติยา พรหมจันทร์,HJ2168 อ935 2557
694,กฎหมายภาษีอากรe,9.78617E+12,2,อ.กิตติยา พรหมจันทร์,KPT3550 ศ721 2556
695,ภาษากฎหมายไทย,9.78616E+12,3,อ.ขรรค์เพชร ชายทวีป,KPT92 ธ515ภ 2555
696,คำสอนชั้นปริญญาตรี วิธีพิจารณาความแพ่ง.,9.78974E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT1710 จ371 2553
697,กฎหมายแพ่งและพาณิชย์พิสดาร (หนี้),9.78974E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT810 ส674
698,ความถูกต้องตามกฎหมาย ความชอบธรรมทางการเมืองและธรรมแห่งอำนาจ,9.78616E+12,2,อ.ขรรค์เพชร ชายทวีป,K295 ล413
699,ห้องเรียนรัฐธรรมนูญนอกห้องเรียน,9.78617E+12,5,อ.ขรรค์เพชร ชายทวีป,JQ1743 ป458 2558
700,กฎหมายมหาชน : วิวัฒนาการของกฎหมายมหาชนในต่างประเทศและประเทศไทย,9.78616E+12,5,อ.ขรรค์เพชร ชายทวีป,K3150 ช486 2558
701,คำอธิบายกฎหมายว่าด้วยความรับผิดทางละเมิดของเจ้าหน้าที่และความรับผิดชอบของรัฐโดยปราศจากความผิด,9.78616E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT828.5 ช486ค 2558
702,หลักพื้นฐานกฎหมายมหาชนว่าด้วยรัฐ รัฐธรรมนูญ และกฎหมาย,9.78616E+12,5,อ.ขรรค์เพชร ชายทวีป,K ก767 2559
703,คดีปกครองใกล้ตัว 9 เลื่อน ลด ปลด ย้าย,9.78616E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT2735 พ784 2559
704,กฎหมายรัฐธรรมนูญ หลักพื้นฐานแห่งกฎหมายรัฐธรรมมนูญและระบอบประชาธิปไตย,9.78616E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT2110 ฐ162 2559
705,ความรู้เบื้องต้นเกี่ยวกับกฎหมายเอกชนโรมัน,9.78616E+12,2,อ.ขรรค์เพชร ชายทวีป,KJA147 ศ125 2559
706,หลักกฎหมายมหาชนเบื้องต้น,9.78616E+12,2,อ.ขรรค์เพชร ชายทวีป,K3150 ส274 2559
707,สิทธิมนุษยชน : แนวคิดและการคุ้มครอง,9.78616E+12,5,อ.ขรรค์เพชร ชายทวีป,JC571 น171 2559
708,อิทธิพลของฝรั่งเศสในการปฏิรูปกฎหมายไทย,9.78616E+12,10,อ.ขรรค์เพชร ชายทวีป,KPT68 ช485 2558
709,ข้อสังเกตในการชั่งน้ำหนักพยานหลักฐานและการเขียนคำพิพากษา,9.78616E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT1672 จ419 2558
710,ประวัติและผลงานของนายโทคิชิ มาซาโอะ (TOKICHI MASAO) :ที่ปรึกษากฎหมายกระทรวงยุติธรรมของสยาม,9.78616E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT110 พ247 2558
711,กฎหมายสมัยอยุธยา,9.78616E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT120 ส917ก 2559
712,ศาสตร์แห่งการตีความกฎหมาย,9.78974E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT452 ส721 2556
713,กฎหมายคุ้มครองพันธุ์พืช,9.78974E+12,2,อ.ขรรค์เพชร ชายทวีป,K3876 จ754
714,หลักกฎหมายมหาชนเบื้องต้น/โภคิน พลกุล และคณะ,9.78974E+12,5,อ.ขรรค์เพชร ชายทวีป,K3150 ภ919 2557
715,ปรัชญากฎหมาย (ความรู้ฉบับพกพา),9.78617E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT215 ว941 2558
716,ความยุติธรรม,9.78617E+12,5,อ.ขรรค์เพชร ชายทวีป,JC578 ซ519 2557
717,การใช้เหตุผลทางนิติศาสตร์,9.78974E+12,2,อ.ขรรค์เพชร ชายทวีป,KPT442 ภ668 2555
718,นิติปรัชญา,9.78974E+12,2,อ.ขรรค์เพชร ชายทวีป,K230 ป472 2559
719,หลักกฎหมายเกี่ยวกับการดำเนินการทางวินัย,9.78616E+12,5,อ.จิรศักดิ์ บางท่าไม้,KPT2720 พ526 2559
720,รวมกฎหมายก่อสร้าง,9.78616E+12,2,อ.จิรศักดิ์ บางท่าไม้,TH245.T5 ว844 2555
721,คำศัพท์ภาษาอังกฤษสำหรับนักกฎหมาย,9.78616E+12,5,อ.ศรีสดา ไพศาลสกุลชัย,PE1116.L2 ด174ค 2560
722,กฎหมายกับเศรษฐศาสตร์,9.78616E+12,2,อ.ศุภชัย วรรณเลิศสกุล,K487.E3 ธ338 2559
723,ความรู้เบื้องต้นเกี่ยวกับกฎหมายเศรษฐกิจระหว่างประเทศ,9.78974E+12,10,อ.ศุภชัย วรรณเลิศสกุล,K3943 น464 2559
724,ความรู้เบื้องต้นเกี่ยวกับกฎหมายทรัพย์สินทางปีญญา,9.78616E+12,5,อ.ศุภชัย วรรณเลิศสกุล,KPT1155 ป493 2559
